page,title,tuneid,popularity,Number
1,Drowsy Maggie,27,4932,0
1,The Kesh,55,4463,1
1,The Butterfly,10,3862,2
1,Cooley’s,1,3798,3
1,Morrison’s,71,3417,4
1,The Silver Spear,182,2947,5
1,The Maid Behind The Bar,64,2852,6
1,The Banshee,8,2711,7
1,Banish Misfortune,9,2585,8
1,The Wind That Shakes The Barley,116,2471,9
2,Tam Lin,248,2364,10
2,Out On The Ocean,108,2341,11
2,The Connaughtman’s Rambles,19,2104,12
2,The Rights Of Man,83,2089,13
2,The Musical Priest,73,2076,14
2,The Harvest Home,49,2021,15
2,King Of The Fairies,475,2001,16
2,The Gravel Walks,42,1996,17
2,The Kid On The Mountain,52,1989,18
2,The Mason’s Apron,74,1974,19
3,The Blarney Pilgrim,5,1911,20
3,The Sally Gardens,98,1826,21
3,The Mountain Road,68,1685,22
3,The Swallowtail,106,1682,23
3,Saint Anne’s,103,1677,24
3,Sí Beag Sí Mór,449,1660,25
3,The Lark In The Morning,62,1655,26
3,The Lilting Banshee,60,1633,27
3,The Boys Of Bluehill,651,1597,28
3,The Star Of Munster,197,1579,29
4,Calliope House,15,1568,30
4,The Morning Dew,69,1560,31
4,The Cliffs Of Moher,12,1551,32
4,The Merry Blacksmith,72,1544,33
4,The Cup Of Tea,20,1523,34
4,The Bucks Of Oranmore,2,1515,35
4,The Congress,208,1499,36
4,Toss The Feathers,113,1477,37
4,Off To California,30,1450,38
4,The Irish Washerwoman,92,1443,39
5,Tripping Up The Stairs,111,1436,40
5,The Wise Maid,118,1369,41
5,Inisheer,211,1364,42
5,Miss McLeod’s,75,1334,43
5,The Pigeon On The Gate,517,1331,44
5,John Ryan’s,441,1309,45
5,The Road To Lisdoonvarna,250,1302,46
5,The Blackthorn Stick,702,1262,47
5,My Darling Asleep,76,1236,48
5,The Red Haired Boy,566,1226,49
6,A Fig For A Kiss,750,1222,50
6,Haste To The Wedding,582,1157,51
6,Julia Delaney’s,589,1151,52
6,The Britches Full Of Stitches,1075,1148,53
6,The Earl’s Chair,221,1147,54
6,The Rocky Road To Dublin,593,1142,55
6,Merrily Kissed The Quaker,70,1136,56
6,The Humours Of Tulla,141,1129,57
6,Brenda Stubbert’s,727,1119,58
6,Jimmy Ward’s,793,1115,59
7,The Dusty Windowsills,29,1092,60
7,The Mist On The Mountain,256,1090,61
7,The Foxhunter,511,1087,62
7,Farewell To Erin,33,1083,63
7,Toss The Feathers,138,1057,64
7,The Monaghan,67,1055,65
7,The Kerry,39,1052,66
7,The Ships Are Sailing,543,1050,67
7,Saddle The Pony,307,1045,68
7,The Atholl Highlanders,107,1027,69
8,The Foxhunter’s,482,1007,70
8,The Jig Of Slurs,35,1002,71
8,Garrett Barry’s,544,1002,72
8,The Otter’s Holt,636,999,73
8,The Man Of The House,222,993,74
8,Rakish Paddy,86,992,75
8,Give Me Your Hand,454,988,76
8,The Sligo Maid,399,978,77
8,The Teetotallers,114,976,78
8,The Rose In The Heather,447,973,79
9,The Dunmore Lasses,462,972,80
9,Castle Kelly,21,971,81
9,Rolling In The Ryegrass,87,944,82
9,Donnybrook Fair,26,939,83
9,Macleod’s Farewell,518,938,84
9,Over The Moor To Maggie,115,933,85
9,The Rambling Pitchfork,89,925,86
9,The Tarbolton,560,911,87
9,Ashokan Farewell,4997,909,88
9,The Swallow’s Tail,105,899,89
10,Sporting Paddy,430,899,90
10,The Maid Of Mount Kisco,432,899,91
10,The Glass Of Beer,188,895,92
10,The Ashplant,726,895,93
10,The Concertina,18,888,94
10,Music For A Found Harmonium,346,880,95
10,The Tenpenny Bit,109,876,96
10,The Geese In The Bog,43,872,97
10,Greig’s Pipes,605,855,98
10,The Salamanca,99,844,99
11,Jenny’s Chickens,756,837,100
11,The Humours Of Trim,88,810,101
11,The Fermoy Lasses,219,799,102
11,The Star Of The County Down,4320,798,103
11,The South Wind,601,796,104
11,Catharsis,703,790,105
11,Fanny Power,957,786,106
11,The Flowers Of Edinburgh,2549,777,107
11,The High,44,775,108
11,Christmas Eve,440,766,109
12,The Rakes Of Kildare,84,764,110
12,Crested Hens,562,762,111
12,Tobin’s Favourite,308,760,112
12,Whiskey Before Breakfast,602,759,113
12,Planxty Irwin,790,751,114
12,The Drunken Landlady,363,750,115
12,The Hag At The Churn,829,748,116
12,The Kerfunten,139,746,117
12,The Humours Of Ballyloughlin,210,746,118
12,The Roaring Barmaid,91,742,119
13,The Old Copperplate,410,742,120
13,The Humours Of Glendart,45,735,121
13,The Frost Is All Over,448,733,122
13,The Tar Road To Sligo,151,731,123
13,Denis Murphy’s,357,723,124
13,Sliabh Russell,335,722,125
13,Frank’s,646,716,126
13,Hector The Hero,1292,716,127
13,Spootiskerry,857,707,128
13,Farewell To Whalley Range,2410,706,129
14,The Sailor’s Bonnet,570,705,130
14,O’Keefe’s,53,704,131
14,The Ballydesmond,238,699,132
14,The Battering Ram,382,695,133
14,Gallagher’s Frolics,160,686,134
14,The Road To Errogie,5270,686,135
14,The Abbey,477,685,136
14,Carolan’s Concerto,788,678,137
14,The Trip To Durrow,891,673,138
14,The Pipe On The Hob,81,670,139
15,Willie Coleman’s,476,668,140
15,An Phis Fhliuch,879,666,141
15,The Glen Of Aherlow,496,659,142
15,Maggie In The Woods,291,658,143
15,The Old Bush,1499,658,144
15,Chief O’Neill’s Favourite,13,654,145
15,MacArthur Road,2221,653,146
15,The Boys Of Malin,11,652,147
15,The Golden Keyboard,36,650,148
15,Father Kelly’s,791,647,149
16,Dinkey’s,24,641,150
16,The Silver Spire,240,638,151
16,The Drops Of Brandy,388,633,152
16,Miss Monaghan,471,632,153
16,I Buried My Wife And Danced On Her Grave,383,627,154
16,The Old Favourite,56,626,155
16,Tommy Peoples’,192,617,156
16,The Frieze Breeches,34,609,157
16,Apples In Winter,299,609,158
16,The Bird In The Bush,629,609,159
17,The Rakes Of Mallow,85,606,160
17,The Maids Of Mitchelstown,120,603,161
17,The Strayaway Child,134,603,162
17,Brian Boru’s March,271,603,163
17,"Old Hag, You Have Killed Me",1359,601,164
17,Swinging On The Gate,236,599,165
17,The Woman Of The House,321,597,166
