tune	1583	REEL	Trip To Carlow	32	102	1583_4___1583_1___1583_3___1583_2	name8883___name8884___name1790___name4697
tune	1599	HORNPIPE	Seanbhean Bhocht	29	102	1599_4___1599_3___1599_2___1599_1	name8885___name8886___name8887___name8888___name8889___name8890___name8891
tune	1963	REEL	McDonaghs	54	102	1963_1___1963_3___1963_4___1963_2	name8892___name5110___name8893
tune	2389	REEL	Paddy O'Briens	34	102	2389_2___2389_1	name8894___name8895___name8896___name7840
tune	586	REEL	Gallagher	44	101	2389_2	name4952
tune	586	REEL	Gallagher	44	101	2389_2	name4952___name8897
tune	586	REEL	Gallagher	44	101	2389_2	name4952___name8897___name968
tune	586	REEL	Gallagher	44	101	2389_2	name4952___name8897___name968
tune	586	REEL	Gallagher	34	102	2389_2	name8894___name8895___name8896___name7840
tune	586	REEL	Gallagher	44	101	586_1___586_8___586_6___586_3___586_2___586_4___586_7___586_5	name4952___name8897
tune	586	REEL	Gallagher	44	101	586_1___586_8___586_6___586_3___586_2___586_4___586_7___586_5	name4952___name8897___name968___name8898
